ID,long_term_credit_card_opening_propensity_score,creditworthiness_score,spend_potential,number_of_credit_cards,short_term_credit_card_opening_propensity_score,long_term_credit_card_cancellation_propensity_score,credit_card_utilization_score,number_of_attempts_to_open_credit_cards,history_at_credit_bureau,total_limit_across_credit_cards,contact_history_score,Balance Transfer Propensity Score,targeted_product,Customer Lifetime Value
82,9.1,9779.2,,132,6.1,9.1,9,12,31,1850,0,35,E,1135
83,6.1,9662.3,0.1,66,6.1,0,3,4,27,500,30,59,E,474
84,0,9233.8,1.8,33,0,0,4,0,28,850,165,24,E,2921
85,18.2,8805.2,5.6,198,15.2,0,5,172,22,775,0,74,C,327
86,6.1,10649.4,6.2,66,0,6.5,1,12,39,3325,510,34,A,4544
87,6.1,9389.6,0.4,66,0,0,2,56,23,125,90,90,C,553
88,6.1,9532.5,0.4,66,0,0,9,8,24,625,240,45,E,1874
89,3,8597.4,1.4,99,3,2.6,17,4,31,800,105,87,D,1217
90,9.1,9584.4,1.7,165,3,1.3,5,12,33,525,765,62,D,4411
91,9.1,9415.6,5.5,132,0,1.3,9,20,28,2850,285,84,E,2148
92,12.1,9220.8,0.7,132,3,0,8,24,33,225,15,98,E,537
93,6.1,10324.7,12.3,99,6.1,1.3,2,4,38,5125,135,82,A,4362
94,24.2,10285.7,10.2,198,3,11.7,1,24,40,3925,0,44,A,1684
95,15.2,9805.2,4.7,132,3,1.3,0,24,25,975,285,68,E,3115
96,18.2,9831.2,1.7,198,6.1,0,7,20,35,775,165,27,E,439
97,24.2,8324.7,2.5,264,6.1,0,4,104,29,250,0,37,C,777
98,3,8415.6,,33,3,0,15,8,61,75,15,68,C,330
99,9.1,8831.2,6.4,165,6.1,1.3,5,4,42,2925,180,4,E,1250
100,24.2,9558.4,3.4,231,9.1,1.3,6,44,23,1375,555,37,E,615
101,33.3,9298.7,0.5,297,6.1,2.6,5,48,27,4350,0,21,B,1566
102,15.2,9636.4,19.7,66,0,10.4,7,28,33,3825,150,23,E,1945
103,0,9506.5,3.3,132,0,1.3,11,12,53,1775,60,44,C,1923
104,3,9532.5,0.1,33,3,0,3,4,21,450,0,27,B,2735
105,15.2,10026,7.9,264,3,2.6,5,20,36,2375,255,47,E,1516
106,21.2,9896.1,11.2,363,9.1,5.2,4,8,32,2450,585,3,E,1238
107,9.1,8922.1,,33,0,2.6,5,64,22,500,0,57,C,290
108,3,9714.3,4.2,99,0,3.9,10,8,48,2250,270,70,E,3893
109,12.1,9064.9,1.7,132,6.1,0,7,20,22,600,0,98,E,1297
110,6.1,8753.2,,99,3,0,9,24,26,450,0,92,E,3458
111,15.2,9675.3,1.1,132,0,2.6,4,44,38,900,405,28,B,3979
112,6.1,8415.6,1.9,99,0,0,6,16,42,350,0,52,C,1055
113,33.3,8662.3,4.3,363,30.3,1.3,6,100,29,300,0,9,C,596
114,3,9584.4,0.1,33,0,0,4,8,22,125,45,62,E,616
115,3,10129.9,6.3,99,0,0,2,8,31,1900,255,14,E,4195
116,42.4,9896.1,0.8,132,9.1,53.2,0,28,41,2825,30,75,D,-130
117,18.2,10597.4,16.6,330,9.1,18.2,2,20,39,5500,0,18,A,3188
118,6.1,8428.6,0.3,132,6.1,2.6,8,20,36,225,15,18,C,351
119,12.1,9584.4,4.3,132,9.1,6.5,4,8,34,1000,30,38,E,2927
120,0,10155.8,5.1,33,0,9.1,12,4,42,675,315,32,E,3387
121,0,9246.8,20.9,33,0,2.6,15,8,34,5750,195,74,E,4439
122,18.2,9688.3,1.3,330,3,3.9,5,12,36,1700,210,57,E,992
123,12.1,9000,0.8,132,3,6.5,14,28,31,975,0,25,C,475
124,9.1,9597.4,4.6,99,3,0,2,16,24,1425,0,99,B,2437
125,3,9545.5,0.2,33,0,0,3,16,23,125,135,83,B,4044
126,3,9649.4,5.4,33,0,0,1,12,24,1750,300,35,B,6624
127,12.1,9324.7,4.6,165,9.1,2.6,9,16,35,1500,45,33,B,2008
128,6.1,9740.3,3.8,198,0,0,5,0,33,2225,315,71,E,3098
129,3,9389.6,3.9,66,0,1.3,3,4,38,2450,195,88,E,2181
130,18.2,9519.5,2.3,132,9.1,2.6,7,16,35,1175,0,42,E,1225
131,6.1,8467.5,3.6,132,3,1.3,10,16,37,1025,60,70,C,576
132,12.1,8584.4,0.5,132,9.1,0,3,32,28,350,45,31,C,256
133,0,9181.8,3,198,0,6.5,4,0,67,900,0,26,C,1306
134,24.2,9000,3.9,264,12.1,0,8,32,38,525,15,88,B,756
135,12.1,9480.5,0.9,198,3,2.6,1,8,37,3575,150,72,A,2914
136,3,9532.5,,33,3,0,5,28,22,2250,0,97,C,333
137,6.1,8389.6,0,66,6.1,1.3,3,12,29,500,15,46,C,430
138,,9532.5,0,,,,,4,21,,0,47,E,300
139,18.2,9026,1.6,198,12.1,0,10,32,23,400,0,51,E,1292
140,15.2,10103.9,,165,9.1,10.4,6,68,56,775,0,80,E,2306
141,18.2,9779.2,5.7,198,3,0,4,24,23,1125,735,91,E,1688
142,6.1,10000,9.6,132,0,0,3,0,31,2575,0,17,A,4777
143,39.4,9090.9,5.3,429,3,15.6,6,20,59,1175,60,96,E,1604
144,6.1,8714.3,0.2,66,6.1,0,10,20,22,400,60,3,D,911
145,9.1,9103.9,0.8,99,9.1,1.3,6,12,32,425,0,16,E,260
146,9.1,9233.8,2,198,0,0,10,36,36,950,375,27,E,2346
147,15.2,10026,1.7,165,6.1,0,3,24,24,2775,240,53,E,408
148,6.1,9142.9,2.5,99,3,2.6,3,12,35,1375,90,13,D,1731
149,18.2,9311.7,8.9,264,6.1,10.4,8,24,50,1600,195,7,E,1459
150,6.1,8844.2,3.8,99,3,0,9,16,32,1350,150,11,B,3164
151,6.1,8337.7,4,99,3,0,2,8,25,1850,15,30,C,784
152,6.1,9831.2,0.3,33,3,1.3,2,20,24,400,30,92,E,446
153,9.1,9246.8,0.7,99,0,0,8,20,23,350,390,66,E,1781
154,6.1,9519.5,,66,3,1.3,6,80,50,1075,0,53,C,918
155,21.2,8467.5,2.3,231,6.1,0,9,28,24,150,105,39,C,524
156,6.1,8311.7,1.3,99,0,2.6,9,8,27,575,45,47,C,1436
157,12.1,9766.2,1.8,132,9.1,0,1,16,23,1450,75,69,E,288
158,6.1,9558.4,4.7,165,3,3.9,13,4,46,1575,30,34,E,1703
159,12.1,9805.2,6.2,165,0,1.3,5,40,28,1600,480,74,E,2597
160,3,9909.1,3,99,0,2.6,9,16,42,2500,300,95,E,1787
161,9.1,8636.4,11.2,132,6.1,0,4,12,27,2825,180,41,B,5447
162,27.3,10389.6,5.6,924,3,5.2,1,8,40,1800,0,79,E,729
163,9.1,9142.9,1.4,66,6.1,1.3,5,28,22,775,90,100,C,977
164,12.1,9155.8,2.3,132,3,1.3,8,24,26,475,270,78,E,1475
165,6.1,9129.9,2.6,66,0,0,2,16,23,175,150,6,E,598
166,3,9532.5,,33,3,0,4,4,21,150,0,60,C,719
167,6.1,9779.2,0.9,99,0,1.3,3,4,26,1175,180,79,E,870
168,12.1,9610.4,0.5,198,9.1,2.6,6,36,28,850,135,43,E,541
169,3,10259.7,6,132,0,3.9,6,12,35,2750,0,48,A,4277
170,3,8844.2,1.2,99,3,2.6,7,16,39,700,180,78,C,1784
171,15.2,9987,5.1,165,0,3.9,1,8,28,3450,75,49,E,398
172,6.1,8480.5,,66,3,0,2,12,22,175,0,77,C,511
173,15.2,8727.3,1.7,165,6.1,2.6,2,36,46,375,0,63,C,773
174,3,9558.4,1,99,3,0,2,4,28,950,0,82,E,330
175,6.1,9000,0.9,66,3,1.3,16,16,41,1525,270,40,C,763
176,9.1,9571.4,6.9,132,0,11.7,11,36,41,2825,180,29,E,1539
177,3,8532.5,2.8,99,0,1.3,12,8,52,800,15,70,B,2266
178,18.2,9311.7,8.7,264,3,6.5,5,36,34,825,375,2,D,3442
179,9.1,8740.3,1.2,99,0,0,10,28,23,300,0,28,E,2323
180,6.1,8493.5,,99,3,1.3,13,28,46,650,15,79,C,495
181,0,9636.4,,33,0,0,15,8,28,2625,0,94,E,2320
182,0,9467.5,5.5,33,0,1.3,7,16,53,2500,135,93,E,3303
183,6.1,9753.2,24.8,132,0,5.2,6,4,43,4425,210,98,E,3550
184,6.1,9363.6,0.2,66,3,0,3,36,22,425,120,46,E,1005
185,12.1,9350.6,5.5,132,0,9.1,13,8,34,2575,135,59,A,8824
186,6.1,9026,1.5,66,0,0,15,28,32,325,0,94,E,2127
187,15.2,9792.2,,198,3,5.2,5,16,33,1325,0,11,E,1056
188,0,8675.3,,66,0,1.3,2,32,38,575,0,90,C,378
189,9.1,10155.8,10.5,297,3,1.3,3,8,35,3450,30,37,E,3384
190,21.2,9090.9,4.1,264,3,10.4,11,8,48,925,30,35,E,2037
191,3,9233.8,1.3,33,0,0,3,44,29,175,0,76,E,2251
192,6.1,10142.9,3.6,165,0,0,2,4,33,1050,75,58,E,1240
193,3,9818.2,,66,3,1.3,1,4,28,200,0,4,C,927
194,9.1,9090.9,5.6,198,0,3.9,10,16,54,1150,180,93,B,6693
195,3,10051.9,11.7,165,0,9.1,3,16,44,3025,105,5,A,4066
196,15.2,9506.5,1.2,132,3,1.3,3,12,24,850,15,2,E,1044
197,9.1,8766.2,2.2,231,3,1.3,8,16,34,650,0,41,C,1162
198,9.1,10298.7,6.3,99,0,7.8,9,12,37,3800,360,70,A,6060
199,21.2,8818.2,3.3,198,6.1,9.1,2,52,49,325,15,45,C,326
200,,9857.1,0,,,,,0,31,50,0,93,E,1217
201,3,9649.4,1,132,0,1.3,3,16,45,1650,135,52,C,3875
202,3,9740.3,0,33,0,0,,8,22,75,30,22,E,436
203,3,8207.8,,33,0,0,12,48,25,525,0,85,C,446
204,12.1,9246.8,0.6,132,9.1,0,3,12,22,700,120,56,B,3247
205,15.2,8727.3,3.3,198,9.1,0,13,44,25,450,0,68,E,1442
206,24.2,9181.8,12.5,495,6.1,5.2,8,32,52,950,0,100,E,2388
207,6.1,9870.1,3.7,66,0,0,1,4,25,2625,30,16,E,767
208,0,10974,6.7,132,0,2.6,0,24,55,4025,210,69,A,6710
209,0,9558.4,,33,0,0,,4,25,2250,0,41,E,780
210,9.1,9701.3,1.9,0,,5.2,,8,41,225,90,62,E,1620
211,21.2,9753.2,2,231,18.2,1.3,1,60,38,1275,60,83,E,227
212,12.1,8181.8,0.8,132,3,0,5,32,23,150,0,68,C,397
213,3,9558.4,1.1,33,0,0,1,8,25,2750,0,23,E,492
214,24.2,9922.1,5.3,396,3,3.9,4,24,34,1300,630,40,E,3094
215,9.1,9376.6,0.5,66,0,1.3,3,8,25,850,45,88,E,2005
216,9.1,9026,1.1,33,3,2.6,4,60,22,575,0,38,C,268
217,6.1,9792.2,0.5,66,6.1,0,7,4,22,100,75,32,E,379
218,9.1,9194.8,0.8,99,6.1,0,7,8,24,500,45,99,C,526
219,9.1,8922.1,1.1,132,3,0,10,16,26,550,0,8,E,1600
220,6.1,9649.4,3.2,99,0,1.3,17,40,32,850,210,88,E,4007
221,3,9272.7,2.8,165,0,1.3,17,8,37,1400,30,55,D,3319
222,3,9064.9,0.3,33,0,0,3,20,22,175,60,40,E,2441
223,3,10000,0.5,33,0,0,2,16,22,550,45,25,B,3145
224,12.1,8259.7,1.2,99,6.1,10.4,2,24,33,2475,75,35,C,516
225,9.1,8857.1,0.3,99,9.1,0,10,12,39,100,15,9,C,424
226,6.1,8792.2,0.8,66,0,1.3,1,8,38,825,30,96,B,2611
227,9.1,10272.7,2.4,198,3,1.3,3,12,39,875,270,92,E,1598
228,6.1,8662.3,,132,0,1.3,7,20,43,1950,0,91,C,1687
229,12.1,9168.8,,132,6.1,0,5,20,23,575,45,1,E,1667
230,15.2,9597.4,,165,9.1,0,6,48,47,1675,0,26,E,1443
231,3,9558.4,1.7,33,0,0,7,0,24,750,435,15,E,2358
232,15.2,9220.8,1.3,165,12.1,0,5,32,22,700,60,33,E,1719
233,3,9441.6,0.9,66,3,1.3,13,16,32,1050,0,72,E,608
234,18.2,10298.7,2.4,264,3,0,1,12,29,2050,210,90,E,1485
235,12.1,9337.7,10.7,330,3,2.6,10,8,41,975,435,19,E,2082
236,24.2,8259.7,3.9,297,3,0,11,60,27,575,0,39,C,330
237,9.1,8584.4,1.2,33,3,3.9,,8,48,250,15,59,C,473
238,18.2,9532.5,1,132,6.1,1.3,4,60,23,650,270,93,E,497
239,3,9324.7,0.3,33,0,0,15,12,44,125,75,96,E,2661
240,3,9506.5,1.4,132,0,1.3,1,4,37,1025,60,41,C,1995
241,6.1,8363.6,1.9,66,3,0,1,16,34,1600,0,35,C,1333
242,12.1,8376.6,0.7,33,3,3.9,10,32,36,450,0,65,C,818
243,12.1,8571.4,1.8,132,0,0,11,4,36,350,0,73,C,491
244,6.1,8883.1,1,99,3,1.3,5,20,35,350,0,61,C,1280
245,12.1,8987,1.7,132,6.1,2.6,12,36,39,475,30,45,B,1669
246,12.1,10129.9,0.2,66,0,14.3,1,12,38,1600,240,68,E,973
247,6.1,10363.6,1.7,165,6.1,6.5,5,8,41,1200,75,18,E,1691
248,18.2,8935.1,0.4,198,15.2,0,9,44,23,300,15,3,E,1451
249,12.1,8298.7,0.2,99,3,1.3,8,24,33,125,15,69,C,336
250,9.1,9649.4,0.6,99,6.1,0,1,16,23,525,60,15,E,856
251,24.2,9571.4,4,231,3,1.3,6,76,34,625,75,97,E,658
252,0,9558.4,,33,0,0,13,0,30,950,0,95,E,1711
253,,9415.6,0,,,,,32,35,,15,95,D,966
254,3,9116.9,,33,3,0,4,8,22,75,0,81,C,503
255,3,9103.9,1,33,0,0,8,8,23,225,0,5,E,1853
256,6.1,9545.5,2.6,99,0,5.2,13,4,43,2075,45,53,B,4991
257,9.1,8766.2,0.7,99,3,0,3,60,29,500,0,10,C,565
258,12.1,8766.2,0.6,132,3,0,9,20,25,175,0,91,E,1839
259,12.1,10311.7,1.8,132,3,5.2,7,12,52,850,225,17,E,1798
260,12.1,8753.2,1.4,165,0,0,10,12,26,800,45,28,E,4000
261,3,9649.4,3.8,33,0,0,0,4,24,7500,135,12,E,1957
262,6.1,8831.2,1.3,66,3,0,11,4,23,300,0,20,C,628
263,3,8402.6,6.1,99,0,0,7,12,38,1125,0,15,C,2029
264,0,10675.3,9.1,66,0,7.8,3,0,49,3850,30,50,D,1200
265,3,9727.3,0.7,66,0,0,6,4,35,175,0,19,E,2839
266,0,10103.9,2.7,33,0,1.3,1,8,28,3875,30,71,E,732
267,15.2,8883.1,3,231,3,9.1,9,24,34,900,225,25,E,847
268,9.1,10194.8,1.3,165,0,6.5,6,52,39,2275,240,87,C,2149
269,9.1,8662.3,2.4,99,0,0,17,16,31,350,30,38,D,2356
270,12.1,9415.6,,132,9.1,0,3,16,22,250,30,87,C,417
271,0,9740.3,0.5,33,0,0,11,12,32,975,0,58,C,576
272,9.1,8961,0.7,99,6.1,0,9,72,23,150,0,3,E,1972
273,0,9467.5,0.3,33,0,0,4,8,28,750,60,76,E,2282
274,9.1,9376.6,7.3,264,3,15.6,9,28,44,1475,150,35,E,866
275,12.1,8805.2,0.2,132,12.1,0,10,20,22,450,0,81,C,805
276,48.5,9155.8,,429,9.1,3.9,5,52,52,550,0,31,C,193
277,9.1,10480.5,,165,3,1.3,3,16,43,4150,0,22,B,6721
278,6.1,8753.2,0.6,132,3,0,6,40,30,950,45,5,C,751
279,15.2,9558.4,1.1,165,6.1,3.9,8,8,43,600,150,23,E,1497
280,12.1,10168.8,6.8,297,0,2.6,1,40,33,2200,420,1,E,2035
281,21.2,9844.2,1.7,231,6.1,6.5,3,16,53,1225,195,59,E,1087
282,15.2,9272.7,2.3,132,6.1,1.3,9,68,22,475,15,79,E,2067
283,9.1,8402.6,2,99,3,1.3,7,4,33,300,0,49,C,742
284,9.1,9142.9,1.7,99,3,0,9,60,39,650,105,76,C,935
285,12.1,8805.2,0.7,132,6.1,1.3,4,28,33,300,0,9,E,1784
286,12.1,8779.2,2,198,9.1,1.3,9,48,33,850,45,66,C,571
287,15.2,9480.5,1.1,165,9.1,0,7,12,51,850,75,3,E,1475
288,3,9039,0.1,33,0,0,8,16,44,75,120,87,C,986
289,3,8571.4,2.1,99,0,5.2,9,12,38,200,120,40,C,1773
290,3,9454.5,1.5,33,3,0,0,28,37,675,0,95,E,1258
291,12.1,9493.5,0.4,132,9.1,0,1,24,22,350,75,48,E,297
292,6.1,8935.1,0.3,66,6.1,1.3,10,24,36,375,0,24,E,1229
293,12.1,9298.7,3.1,165,3,0,15,8,25,1150,135,99,E,2399
294,3,8727.3,1.2,33,0,2.6,6,0,39,575,30,14,C,2231
295,15.2,9857.1,4.4,165,3,5.2,6,52,42,2175,120,37,E,578
296,6.1,9493.5,1.8,66,3,0,1,12,22,1450,0,63,B,2616
297,21.2,9389.6,5.1,429,6.1,7.8,11,12,50,1200,90,61,E,1327
298,9.1,9454.5,0.1,99,9.1,0,1,20,42,450,30,35,E,623
299,0,9155.8,20.2,99,0,0,5,24,34,4125,270,33,A,7331
300,3,9350.6,0,33,0,0,10,8,22,100,0,37,E,3460
301,6.1,9337.7,0.7,99,6.1,0,5,28,28,675,60,32,B,2271
302,3,9740.3,6.7,66,0,6.5,8,0,36,825,540,57,E,4972
303,6.1,8454.5,0.5,66,6.1,0,2,52,46,250,15,47,C,1109
304,9.1,9896.1,1.2,165,3,1.3,3,16,33,1525,180,15,E,1932
305,21.2,9168.8,5.7,231,6.1,6.5,8,20,37,1450,120,34,A,5653
306,9.1,9428.6,6,99,0,5.2,14,4,36,2475,60,30,E,1303
307,6.1,8233.8,17.9,99,0,1.3,5,8,36,2275,15,75,C,1100
308,6.1,10000,8.4,165,0,6.5,6,16,51,3100,315,2,B,3481
309,6.1,10051.9,3.7,363,3,11.7,6,4,56,2325,30,7,E,1620
310,6.1,8922.1,5.4,132,0,0,14,8,37,1475,195,30,E,2771
311,6.1,8207.8,,66,0,0,2,8,36,375,0,45,C,644
312,12.1,9779.2,1.7,132,6.1,0,3,20,27,950,90,21,E,2135
313,3,9740.3,,33,3,0,1,4,21,4375,0,22,C,1123
314,3,10493.5,8.1,99,0,1.3,2,20,37,5075,30,85,A,5789
315,0,8324.7,0.8,165,0,0,14,12,38,675,0,89,C,423
316,3,10000,0,33,3,0,,12,22,125,0,47,E,294
317,12.1,9389.6,3.8,198,3,3.9,6,20,33,575,150,53,E,2999
318,21.2,9766.2,5.4,495,6.1,3.9,5,16,32,1050,390,74,E,1990
319,0,9649.4,,33,0,0,1,0,37,14200,15,86,E,1457
320,9.1,9311.7,0.4,99,6.1,0,8,28,32,900,45,43,C,1067
321,12.1,9103.9,3,231,6.1,1.3,8,12,33,1400,315,65,E,3180
322,12.1,9389.6,1.9,297,6.1,0,3,8,33,1500,360,2,E,959
323,15.2,8935.1,0.6,165,12.1,0,6,56,23,250,30,91,E,1047
324,15.2,9013,,165,0,1.3,8,20,31,2500,0,2,B,3444
325,12.1,9870.1,0.7,132,0,1.3,4,32,50,400,60,92,E,2155
326,24.2,9324.7,2.4,198,6.1,2.6,5,20,33,375,375,94,E,1610
327,12.1,8636.4,0.7,132,9.1,0,9,32,22,175,0,52,E,1346
328,9.1,9039,0.6,99,6.1,0,13,12,22,150,75,46,E,2095
329,9.1,9402.6,4.8,231,0,6.5,10,48,46,2400,225,16,E,2552
330,6.1,9675.3,23.8,231,0,2.6,10,4,41,1500,180,95,A,11674
331,6.1,10116.9,7.4,99,0,1.3,3,4,31,3000,510,89,A,3892
332,6.1,9389.6,0,66,6.1,0,2,20,22,875,0,46,C,251
333,30.3,8922.1,4.6,330,9.1,14.3,7,48,36,475,0,3,C,228
334,6.1,8831.2,0.1,66,6.1,0,5,52,22,225,0,13,C,293
335,3,9246.8,1.7,99,0,1.3,12,36,36,875,270,74,E,3246
336,3,9727.3,2.3,165,3,2.6,10,12,53,1950,135,29,D,2765
337,9.1,9103.9,4,198,3,1.3,9,16,31,575,360,49,E,1670
338,6.1,9246.8,0.1,66,3,0,5,8,22,225,0,16,C,466
339,21.2,8350.6,,330,6.1,1.3,9,32,45,300,0,47,C,412
340,12.1,9519.5,0.9,132,3,0,8,16,25,500,90,59,E,1336
341,21.2,8701.3,1.7,231,15.2,0,4,48,35,175,75,43,C,500
342,12.1,8987,1.4,165,6.1,0,12,28,25,375,120,23,E,1332
343,3,9714.3,,33,3,0,,12,24,625,0,9,C,342
344,18.2,9000,2.6,99,3,3.9,11,12,25,725,255,76,E,1463
345,39.4,8766.2,4.8,462,9.1,1.3,8,52,25,650,480,25,E,1107
346,18.2,8961,5.2,231,3,1.3,12,124,36,1250,75,61,C,372
347,12.1,9337.7,0.7,132,9.1,0,7,24,23,425,105,81,E,569
348,18.2,8766.2,0.8,198,15.2,0,8,24,24,225,0,65,E,1723
349,12.1,9740.3,7.8,396,3,1.3,4,32,41,700,60,5,E,1208
350,15.2,9376.6,5,264,6.1,0,9,12,33,1950,180,52,E,2429
351,18.2,8857.1,0.4,132,0,2.6,0,4,46,575,0,82,C,47
352,15.2,9324.7,3.7,198,3,0,9,12,32,1100,285,29,E,1874
353,6.1,9064.9,,99,6.1,0,6,20,29,1200,0,80,E,1664
354,6.1,9363.6,1.2,66,0,0,9,0,24,750,0,89,E,3901
355,12.1,8779.2,,132,6.1,0,3,56,23,250,0,86,B,3892
